timestamp,Open,High,Low,Close,Volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
17/08/17,301.13,312.18,298,302,7030.71034,1.50301E+12,2154655.3,4522,6224.58999,1908705.369,0
18/08/17,302,311.79,283.94,293.96,9537.84646,1.5031E+12,2858946.509,5658,7452.43542,2240813.261,0
19/08/17,293.31,299.9,278,290.91,2146.19773,1.50319E+12,620022.5899,1795,1537.9755,444713.6122,0
20/08/17,289.41,300.53,282.85,299.1,2510.13871,1.50327E+12,742847.8946,2038,2186.68739,647506.062,0
21/08/17,299.1,346.52,294.6,323.29,5219.44542,1.50336E+12,1689472.341,3925,4004.19967,1297977.423,0
22/08/17,321.04,330.41,144.21,309.8,7956.35088,1.50345E+12,2454425.803,6577,4433.78132,1364472.488,0
23/08/17,312.25,324.99,309.41,315.74,8665.72569,1.50353E+12,2753464.945,8540,2282.23633,728206.9176,0
24/08/17,315.74,328.04,314.01,323.42,6753.27192,1.50362E+12,2159417.114,6495,1901.90029,610929.1472,0
25/08/17,323.42,338.28,323.42,327.24,7125.96962,1.50371E+12,2354162.038,7452,2595.82561,859314.6835,0
26/08/17,327.24,335.44,323.41,330.79,4877.68521,1.50379E+12,1601994.377,4400,941.99655,311132.2631,0
27/08/17,332.18,348.13,330.73,348.13,4635.43715,1.50388E+12,1554477.358,4973,1166.20029,392130.1152,0
28/08/17,348.11,351,331.95,346,4279.1817,1.50396E+12,1463758.169,4526,1114.26279,383473.9889,0
29/08/17,347,377.6,346,374.7,3032.13425,1.50405E+12,1102069.621,3265,923.16784,334768.8105,0
30/08/17,374.7,393.71,362.05,385.93,4446.59608,1.50414E+12,1679526.213,4812,1285.37799,487837.7448,0
31/08/17,384.64,389.36,377.78,384.79,4435.86855,1.50422E+12,1704441.394,4574,1432.19381,550808.6109,0
01/09/17,386.44,394.39,383.18,388.46,4198.68434,1.50431E+12,1635227.614,4124,1564.05531,609630.9498,0
02/09/17,388.58,394.32,320.08,343.14,8240.32724,1.5044E+12,2904008.461,8217,2460.66776,868487.2834,0
03/09/17,343.56,367.28,320.08,341.77,5253.62211,1.50448E+12,1801702.618,6153,2240.91753,767938.2522,0
04/09/17,339.29,344.55,267.94,283.77,6737.81061,1.50457E+12,2002446.182,7403,2954.16805,877011.1067,0
05/09/17,286.81,321.52,235.55,312.09,8344.41924,1.50466E+12,2397490.918,8999,4312.97282,1251958.991,0
06/09/17,313.29,336.34,312.09,335,5486.30988,1.50474E+12,1793962.858,7089,2183.65363,713126.1017,0
07/09/17,335.01,342.5,320.17,334.49,3103.89745,1.50483E+12,1027135.687,2635,1321.09841,438034.1733,0
08/09/17,334.49,335.1,272,302.99,4915.75693,1.50492E+12,1494309.887,3227,2306.94838,698362.8494,0
09/09/17,300.01,307,281.66,296.74,2740.58822,1.505E+12,813750.3589,1956,1755.91508,520754.9146,0
10/09/17,296.72,302.78,261.03,293.5,4156.45099,1.50509E+12,1181903.772,2494,2282.40311,651266.458,0
11/09/17,293.51,304.98,285.21,297.3,4829.64647,1.50517E+12,1436811.816,3490,2412.24221,718382.7522,0
12/09/17,297.78,316.46,286.01,293.96,5176.31402,1.50526E+12,1573452.412,5279,2207.60465,671349.2543,0
13/09/17,293.93,294.5,257.05,276.91,6451.22836,1.50535E+12,1761080.898,4527,3264.55673,890399.3696,0
14/09/17,275.76,283.77,215,215.21,12601.95676,1.50543E+12,3110767.781,8166,4455.23882,1100931.145,0
15/09/17,217,270.93,192,253,14223.8953,1.50552E+12,3319311.827,9198,5945.8076,1386660.037,0
16/09/17,255.99,271.81,235.51,249.31,10362.06011,1.50561E+12,2647152.372,8859,3866.60141,995005.3267,0
17/09/17,249.32,264.39,239.02,257.55,4614.53337,1.50569E+12,1149704.295,5277,1442.00382,360268.4739,0
18/09/17,257.53,306.22,257.11,294.57,4125.97051,1.50578E+12,1182937.634,3440,2342.68408,669740.5215,0
19/09/17,296,300,277.41,284,1869.90852,1.50587E+12,535773.5652,1896,789.82937,226839.7065,0
20/09/17,284.01,294,275.91,282,1060.56734,1.50595E+12,302739.7338,1431,566.64637,162290.4186,0
21/09/17,285.1,287,252.1,257,1912.55583,1.50604E+12,516193.1971,2751,579.77742,156157.9955,0
22/09/17,258,272.97,253.01,264,1464.5125,1.50612E+12,382962.2179,2144,612.61937,160401.2878,0
23/09/17,259.99,286.23,255.11,285.93,2824.33572,1.50621E+12,788810.3244,3901,841.43467,233418.2569,0
24/09/17,286.5,294.61,275,282,5575.54422,1.5063E+12,1582877.487,8022,1314.52754,373569.5568,0
25/09/17,282,299,281.34,294.42,5870.48035,1.50638E+12,1705551.992,9165,1950.58866,567363.4491,0
26/09/17,294.42,296.81,286.24,287.9,4566.92804,1.50647E+12,1332125.165,7329,1073.93969,313528.6413,0
27/09/17,289.91,313,286.13,309.74,5518.10382,1.50656E+12,1641896.874,8208,1276.45702,380606.4658,0
28/09/17,309.81,311.81,296.89,302.44,6600.90922,1.50664E+12,2009233.889,10534,2210.54916,674345.9209,0
29/09/17,302.44,303,274,292.22,11089.19902,1.50673E+12,3213725.09,13098,5176.62946,1501566.862,0
30/09/17,292.62,307.49,292.22,304.36,4020.60795,1.50682E+12,1214456.838,8168,1645.11941,497660.5081,0
01/10/17,305.13,306,294,303.95,5060.05758,1.5069E+12,1518988.303,8900,1496.73509,449595.1196,0
02/10/17,303.94,305,295,296.5,3710.83747,1.50699E+12,1116501.225,7454,1398.52021,421273.0244,0
03/10/17,298.15,301.99,283.18,292.48,5546.85702,1.50708E+12,1622460.727,9327,2105.27684,616540.7337,0
04/10/17,292.47,297.97,288,291.99,4014.88792,1.50716E+12,1176260.217,7233,2030.795,596758.0569,0
05/10/17,290,297.44,285.53,294.81,3412.39016,1.50725E+12,994768.4954,6125,1684.82069,492521.5793,0
06/10/17,294.78,310.8,293.78,310.8,3541.02359,1.50733E+12,1063779.354,6064,1965.17959,590729.7619,0
07/10/17,309.9,318.5,303.6,311.01,2165.79076,1.50742E+12,672026.6685,4289,1031.34817,320575.6411,0
08/10/17,311.08,317.07,309,311.07,2960.93198,1.50751E+12,923989.7876,6247,1069.23508,334539.357,0
09/10/17,311.13,312.13,286.65,297.19,4885.37863,1.50759E+12,1462524.625,8680,1575.93338,472759.5852,0
10/10/17,297.35,308.56,293,298.64,6749.27468,1.50768E+12,2028540.473,9392,3979.8636,1200692.039,0
11/10/17,300.88,305.5,298.02,304.01,3724.6863,1.50777E+12,1125331.503,4079,1923.79902,581977.2978,0
12/10/17,304.01,310,302.71,303.99,7827.75596,1.50785E+12,2397065.163,4956,3436.20226,1053317.972,0
13/10/17,303.52,353.96,297,337.96,17925.36585,1.50794E+12,5832987.256,9898,7538.17104,2469530.263,0
14/10/17,337.96,349.8,335,342,7731.96469,1.50803E+12,2655702.115,5703,3790.50687,1304246.792,0
15/10/17,342,348,316.17,337.96,10011.34708,1.50811E+12,3326752.597,6822,4957.44824,1652285.722,0
16/10/17,337.5,354,332.78,335.19,8663.47097,1.5082E+12,2956522.042,6586,4424.03339,1511172.913,0
